website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://www.crossfitchulavista.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,219,32.6533423,-116.9672588,Chula Vista,crossfit,0,91914,US,0,2005-11-25T08:00:00Z,0,821 Kuhn Dr. Suite 106,1,CA,1,0,CrossFit Chula Vista,United States,Commercial,790,California
http://www.sanfranciscocrossfit.com/,https://profilepicsbucket.crossfit.com/f964a-A928_1-184.jpg,1,214,37.8023244,-122.4506602,San Francisco,san,1,94129,US,0,2005-12-01T08:00:00Z,0,1162 Gorgas Avenue,  The Presidio of San Francisco,1,CA,1,1,San Francisco CrossFit,United States,Commercial,928,California
http://www.crossfitcentral.com/,https://profilepicsbucket.crossfit.com/69fe8-A786_5-184.jpg,1,216,30.337216,-97.73895,Austin,crossfit,5,78757,US,0,2005-12-02T08:00:00Z,0,6205-A Burnet Rd.,1,TX,1,0,CrossFit Central,United States,Commercial,786,Texas
http://www.crossfitlongbeach.com/,https://profilepicsbucket.crossfit.com/4cc25-A826_3-184.jpg,1,223,33.80164,-118.1765457,Signal Hill,crossfit,3,90755,US,0,2005-12-07T08:00:00Z,0,2431 Orange Avenue,1,CA,1,0,CrossFit Long Beach,United States,Commercial,826,California
http://crossfitmontreal.ca/,https://profilepicsbucket.crossfit.com/pukie.png,1,228,45.4697146,-73.5876374,Montreal,crossfit,0,H4C 3N8,CA,0,2005-12-20T08:00:00Z,0,4850 Saint-Ambroise suite 100,1,QC,1,0,CrossFit Montreal,Canada,Commercial,833,Quebec
http://www.crossfitdenver.com/,https://profilepicsbucket.crossfit.com/39a1b-A792_2-184.jpg,1,222,39.6918464,-104.9920627,Denver,crossfit,2,80223,US,0,2005-12-31T08:00:00Z,0,1380 South Sante Fe Drive,1,CO,1,0,CrossFit Denver,United States,Commercial,792,Colorado
http://crossfitvancouver.com/,https://profilepicsbucket.crossfit.com/0dab7-A889_4-184.jpg,1,195,49.2672079,-123.077251,Vancouver,crossfit,4,V5N 0A9,CA,0,2006-01-27T08:00:00Z,0,1980 Clark Drive,1,BC,1,0,CrossFit Vancouver,Canada,Commercial,889,British Columbia
http://www.crossfitstamford.com/,https://profilepicsbucket.crossfit.com/0b72a-A884_2-184.jpg,1,229,41.0405741,-73.5503435,Stamford,crossfit,2,06902,US,0,2006-03-01T08:00:00Z,0,75 Selleck Street,1,CT,1,0,CrossFit Stamford,United States,Commercial,884,Connecticut
http://www.crossfitmissoula.com/,https://profilepicsbucket.crossfit.com/cf398-A779_4-184.jpg,1,230,46.867298,-114.015824,Missoula,crossfit,4,59801,US,0,2006-03-10T08:00:00Z,0,1290-B South 3rd Street West,1,MT,1,0,CrossFit Missoula,United States,Commercial,779,Montana
http://www.northshorecrossfit.com,https://profilepicsbucket.crossfit.com/60829-A886_2-184.jpg,1,236,42.54316,-70.9215021,Danvers,north,2,01960,US,0,2006-03-26T08:00:00Z,0,121 Liberty Street,1,MA,1,0,North Shore CrossFit,United States,Commercial,886,Massachusetts
http://crossfitpittsburgh.com/,https://profilepicsbucket.crossfit.com/95d8e-A870_5-184.jpg,1,233,40.4581984,-79.9110232,Pittsburgh,crossfit,5,15206,US,0,2006-04-01T08:00:00Z,0,6595 Hamilton Avenue,1,PA,1,0,CrossFit Pittsburgh,United States,Commercial,870,Pennsylvania
http://www.crossfitsantiago.com/,https://profilepicsbucket.crossfit.com/df569-A880_7-184.jpg,1,238,-33.432895,-70.6660486,Santiago Centro,crossfit,7,,CL,0,2006-04-05T07:00:00Z,0,Andes #2072,1,,1,1,CrossFit Santiago,Chile,Commercial,880,
http://www.frontrangecrossfit.com/,https://profilepicsbucket.crossfit.com/5d5ad-A921_2-184.jpg,1,234,39.69218192047041,-104.89005267620087,Denver,front,2,80247,US,0,2006-04-20T07:00:00Z,0,1338 South Valentia St, Unit 182,1,CO,1,1,Front Range CrossFit,United States,Commercial,921,Colorado
http://www.crossfitcalgary.ca/,https://profilepicsbucket.crossfit.com/7af1e-A785_2-184.jpg,1,253,51.1258027,-114.2079333,Calgary,crossfit,2,T3G 4B7,CA,0,2006-04-29T07:00:00Z,0,#17 141 Crowfoot Way NW,1,AB,1,1,CrossFit Calgary,Canada,Commercial,785,Alberta
